"A total of %1 contact(s) have been sent.","A total of %1 contact(s) have been sent."
"Access Token","Access Token"
"Are you sure?","Are you sure?"
"By default, you will see only properties which have ""Use in forms"" checked in your HubSpot admin panel. By enabling this option you will be able to browse properties without this option checked.","By default, you will see only properties which have ""Use in forms"" checked in your HubSpot admin panel. By enabling this option you will be able to browse properties without this option checked."
"Company","Company"
"Contact","Contact"
"Contact Lead Status","Contact Lead Status"
"Contact Lifecycle Stage","Contact Lifecycle Stage"
"Create HubSpot company record. Please map appropriate attributes.","Create HubSpot company record. Please map appropriate attributes."
"Create HubSpot contact record. Please map appropriate attributes.","Create HubSpot contact record. Please map appropriate attributes."
"Create HubSpot ticket. Please map appropriate attributes.","Create HubSpot ticket. Please map appropriate attributes."
"Customer Email","Customer Email"
"Default","Default"
"Enable HubSpot Integration","Enable HubSpot Integration"
"Field","Field"
"Fields Mapping","Fields Mapping"
"General settings that are required to connect HubSpot and Magento.","General settings that are required to connect HubSpot and Magento."
"Hubspot","Hubspot"
"HubSpot Attribute","HubSpot Attribute"
"HubSpot Integration Add-on","HubSpot Integration Add-on"
"HubSpot Integration Settings","HubSpot Integration Settings"
"HubSpot token not configured.","HubSpot token not configured."
"No owner","No owner"
"Not set","Not set"
"Owner","Owner"
"Paste your HubSpot private app <i>Access Token</i> here.","Paste your HubSpot private app <i>Access Token</i> here."
"Send Data","Send Data"
"Show All Properties","Show All Properties"
"Ticket","Ticket"
"Ticket Pipeline","Ticket Pipeline"
"Ticket Priority","Ticket Priority"
"Ticket Source","Ticket Source"
"Ticket Status","Ticket Status"
"Update company information for already existing domain.","Update company information for already existing domain."
"Update contact information for already existing email.","Update contact information for already existing email."
"Update Existing Companies","Update Existing Companies"
"Update Existing Contacts","Update Existing Contacts"
